entry moduleId genCharge genPdgId genVx genVy genVz genCotTheta genD0 genDz genInvPt genPt genPhi genEta stubPhi stubEta stubR stubX stubY stubZ stubLocalPhi stubLocalZ 
179 50334 -1 13 -0.000424267 0.000709465 4.96152 0.290279 -0.000682212 4.96138 -0.0599391 16.6836 1.13906 0.28635 1.14703 0.480139 23.8263 9.7972 21.7188 11.8846 553.5 23
179 60430 -1 13 -0.000424267 0.000709465 4.96152 0.290279 -0.000682212 4.96138 -0.0599391 16.6836 1.13906 0.28635 1.15083 0.419865 34.9465 14.2488 31.9097 15.1077 118 3
179 70631 -1 13 -0.000424267 0.000709465 4.96152 0.290279 -0.000682212 4.96138 -0.0599391 16.6836 1.13906 0.28635 1.15593 0.381046 49.8776 20.104 45.6465 19.4689 244.5 14
179 80914 -1 13 -0.000424267 0.000709465 4.96152 0.290279 -0.000682212 4.96138 -0.0599391 16.6836 1.13906 0.28635 1.16271 0.321838 69.6206 27.629 63.9036 22.7954 626.5 1
179 91215 -1 13 -0.000424267 0.000709465 4.96152 0.290279 -0.000682212 4.96138 -0.0599391 16.6836 1.13906 0.28635 1.16871 0.363072 87.2959 34.1624 80.3337 32.3956 967 1
179 101415 -1 13 -0.000424267 0.000709465 4.96152 0.290279 -0.000682212 4.96138 -0.0599391 16.6836 1.13906 0.28635 1.17527 0.344746 106.425 41.0045 98.2082 37.4206 296.5 0

190 50334 -1 13 0.000579078 0.000428831 4.3232 0.332069 0.000345765 4.32299 -0.0722737 13.8363 1.1379 0.32625 1.14766 0.49098 23.8258 9.78334 21.7246 12.1737 552 21
190 60431 -1 13 0.000579078 0.000428831 4.3232 0.332069 0.000345765 4.32299 -0.0722737 13.8363 1.1379 0.32625 1.15207 0.442516 34.3433 13.9639 31.3763 15.6983 120 27
190 70631 -1 13 0.000579078 0.000428831 4.3232 0.332069 0.000345765 4.32299 -0.0722737 13.8363 1.1379 0.32625 1.15873 0.407859 49.8844 19.9787 45.7089 20.9146 230.5 4
190 80914 -1 13 0.000579078 0.000428831 4.3232 0.332069 0.000345765 4.32299 -0.0722737 13.8363 1.1379 0.32625 1.16711 0.389685 69.6166 27.3463 64.0207 27.8204 592.5 0
190 91215 -1 13 0.000579078 0.000428831 4.3232 0.332069 0.000345765 4.32299 -0.0722737 13.8363 1.1379 0.32625 1.17443 0.36316 87.2737 33.694 80.5072 32.3956 911.5 1
190 101415 -1 13 0.000579078 0.000428831 4.3232 0.332069 0.000345765 4.32299 -0.0722737 13.8363 1.1379 0.32625 1.18242 0.344695 106.441 40.308 98.5137 37.4206 212 0

191 50334 -1 13 0.00322153 0.000161436 2.227 0.385049 0.00307673 2.22663 -0.0156347 63.9604 1.3159 0.376118 1.31785 0.459772 24.0493 6.01853 23.284 11.4509 144.5 26
191 60531 -1 13 0.00322153 0.000161436 2.227 0.385049 0.00307673 2.22663 -0.0156347 63.9604 1.3159 0.376118 1.31894 0.432098 36.1972 9.02033 35.0552 16.132 443.5 24
191 70732 -1 13 0.00322153 0.000161436 2.227 0.385049 0.00307673 2.22663 -0.0156347 63.9604 1.3159 0.376118 1.32032 0.416784 51.2765 12.7098 49.6764 21.9954 342.5 25
191 81014 -1 13 0.00322153 0.000161436 2.227 0.385049 0.00307673 2.22663 -0.0156347 63.9604 1.3159 0.376118 1.32191 0.400632 67.6178 16.6561 65.5343 27.8204 410.5 0
191 91315 -1 13 0.00322153 0.000161436 2.227 0.385049 0.00307673 2.22663 -0.0156347 63.9604 1.3159 0.376118 1.3238 0.408092 89.1999 21.8088 86.4928 37.4206 444.5 0
191 101616 -1 13 0.00322153 0.000161436 2.227 0.385049 0.00307673 2.22663 -0.0156347 63.9604 1.3159 0.376118 1.32547 0.387394 107.013 25.9908 103.808 42.5007 475.5 1

193 50332 -1 13 -0.000915665 -0.000646722 -7.61816 0.49461 -0.000407206 -7.61764 -0.262736 3.8061 0.98668 0.476386 1.02273 0.178372 24.1051 12.5596 20.5746 4.32252 852.5 16
193 60429 -1 13 -0.000915665 -0.000646722 -7.61816 0.49461 -0.000407206 -7.61764 -0.262736 3.8061 0.98668 0.476386 1.03841 0.266801 34.1559 17.3371 29.4288 9.22132 509.5 12
193 70630 -1 13 -0.000915665 -0.000646722 -7.61816 0.49461 -0.000407206 -7.61764 -0.262736 3.8061 0.98668 0.476386 1.06149 0.333733 49.2729 24.024 43.0194 16.751 712.5 1
193 70631 -1 13 -0.000915665 -0.000646722 -7.61816 0.49461 -0.000407206 -7.61764 -0.262736 3.8061 0.98668 0.476386 1.06247 0.334786 49.8757 24.2755 43.5693 17.0114 710.5 31
193 80814 -1 13 -0.000915665 -0.000646722 -7.61816 0.49461 -0.000407206 -7.61764 -0.262736 3.8061 0.98668 0.476386 1.08944 0.400325 67.6726 31.3314 59.9826 27.8204 190 0
193 91115 -1 13 -0.000915665 -0.000646722 -7.61816 0.49461 -0.000407206 -7.61764 -0.262736 3.8061 0.98668 0.476386 1.12212 0.408089 89.2005 38.6925 80.3718 37.4206 434.5 0
193 101416 -1 13 -0.000915665 -0.000646722 -7.61816 0.49461 -0.000407206 -7.61764 -0.262736 3.8061 0.98668 0.476386 1.14927 0.430663 107.016 43.7858 97.6482 47.5257 604.5 0

210 50333 -1 13 -8.83929e-05 6.51419e-06 1.66617 0.280152 -8.07675e-05 1.66618 -0.263818 3.79049 1.07277 0.276611 1.10863 0.344538 23.2665 10.3743 20.8256 8.17574 641 17
210 60430 -1 13 -8.83929e-05 6.51419e-06 1.66617 0.280152 -8.07675e-05 1.66618 -0.263818 3.79049 1.07277 0.276611 1.12701 0.319981 34.87 14.9719 31.4922 11.3491 201.5 29
210 70630 -1 13 -8.83929e-05 6.51419e-06 1.66617 0.280152 -8.07675e-05 1.66618 -0.263818 3.79049 1.07277 0.276611 1.14931 0.308724 49.2582 20.1524 44.9472 15.4499 280 10
210 80914 -1 13 -8.83929e-05 6.51419e-06 1.66617 0.280152 -8.07675e-05 1.66618 -0.263818 3.79049 1.07277 0.276611 1.18036 0.321874 69.6126 26.494 64.3737 22.7954 490 1
210 91214 -1 13 -8.83929e-05 6.51419e-06 1.66617 0.280152 -8.07675e-05 1.66618 -0.263818 3.79049 1.07277 0.276611 1.20805 0.311767 87.8051 31.1567 82.0914 27.8204 586 0
210 101515 -1 13 -8.83929e-05 6.51419e-06 1.66617 0.280152 -8.07675e-05 1.66618 -0.263818 3.79049 1.07277 0.276611 1.23952 0.294553 108.408 35.2595 102.514 32.3956 514.5 1

215 50334 -1 13 0.00153016 0.000128651 3.23964 0.35136 0.00122284 3.23932 -0.144448 6.92292 1.00512 0.344505 1.02437 0.469696 24.099 12.5226 20.5899 11.74 848.5 24
215 60431 -1 13 0.00153016 0.000128651 3.23964 0.35136 0.00122284 3.23932 -0.144448 6.92292 1.00512 0.344505 1.03256 0.433203 34.1583 17.5103 29.3288 15.2646 529.5 30
215 70631 -1 13 0.00153016 0.000128651 3.23964 0.35136 0.00122284 3.23932 -0.144448 6.92292 1.00512 0.344505 1.04556 0.404895 49.922 25.0319 43.1927 20.77 795 5
215 80814 -1 13 0.00153016 0.000128651 3.23964 0.35136 0.00122284 3.23932 -0.144448 6.92292 1.00512 0.344505 1.06024 0.400632 67.618 33.0423 58.9949 27.8204 409.5 0
215 91115 -1 13 0.00153016 0.000128651 3.23964 0.35136 0.00122284 3.23932 -0.144448 6.92292 1.00512 0.344505 1.07825 0.355415 89.2576 42.2074 78.6477 32.3956 869.5 1
215 101316 -1 13 0.00153016 0.000128651 3.23964 0.35136 0.00122284 3.23932 -0.144448 6.92292 1.00512 0.344505 1.09477 0.380542 109.034 49.9646 96.9121 42.5007 265 1

216 50333 -1 13 -0.000246692 0.000478273 0.684409 0.293802 -0.000474715 0.684334 -0.283062 3.5328 0.966637 0.289731 1.00409 0.31705 23.5663 12.6517 19.8823 7.59749 887.5 21
216 60429 -1 13 -0.000246692 0.000478273 0.684409 0.293802 -0.000474715 0.684334 -0.283062 3.5328 0.966637 0.289731 1.021 0.307345 34.1663 17.8524 29.1313 10.6669 569 2
216 70630 -1 13 -0.000246692 0.000478273 0.684409 0.293802 -0.000474715 0.684334 -0.283062 3.5328 0.966637 0.289731 1.04569 0.302774 49.316 24.7222 42.6717 15.1608 790.5 12
216 80814 -1 13 -0.000246692 0.000478273 0.684409 0.293802 -0.000474715 0.684334 -0.283062 3.5328 0.966637 0.289731 1.07568 0.330939 67.6396 32.1381 59.5169 22.7954 293.5 1
